link,upload,duration,views,likes,comments,resend,saves,description
https://www.tiktok.com/@ness_opo/video/7282291561981889797,2023-09-24 10:30:35,24,2980,247,2,1,32,Thank you to all the addicts.#🎧 #NesS🎧🎵 #phonk #ness_opo #slowed #slowed #brazilian #musica #typ #อย่าปิดการมองเห็น #tending #viral #brazil #TikTok #aveeplayer #tending #bassboosong #headphones #foryou #funk #sdx_bass #top 
https://www.tiktok.com/@ness_opo/video/7282185382827969797,2023-09-24 03:38:34,72,7208,431,3,2,72,😈😈😈🎧🎧🎵#slowed #brazilian #อย่าปิดการมองเห็น #tending #typ #musica #top #sdx_bass #funk #foryou #headphones #bassboosong #aveeplayer #TikTok #brazil #viral #tending #อย่าปิดการมองเห็น #typ #musica #brazilian #slowed #ness_opo #phonk #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7281824426620931333,2023-09-23 04:17:52,60,5301,232,0,1,40,
https://www.tiktok.com/@ness_opo/video/7281654395102661893,2023-09-22 17:18:02,88,2416,102,4,0,12,ช่องพี่เป็ดเลยครับอ้าย#🎧 #NesS🎧🎵 #phonk #viral #brazil #ness_opo #TikTok #aveeplayer #bassboosong #bassboosong #headphones #foryou #funk #sdx_bass #musica #top #typ #tending #อย่าปิดการมองเห็น #brazilian #slowed 
https://www.tiktok.com/@ness_opo/video/7281622048793742597,2023-09-22 15:12:31,60,7374,433,5,6,58,💀💀💀#slowed #brazilian #อย่าปิดการมองเห็น #tending #typ #top #musica #sdx_bass #funk #foryou #headphones #bassboosong #aveeplayer #TikTok #ness_opo #brazil #viral #phonk #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7281587238675254533,2023-09-22 12:57:27,42,28300,1882,6,4,319,💀💀💀#🎧 #NesS🎧🎵 #phonk #viral #brazil #ness_opo #TikTok #aveeplayer #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #musica #top #typ #tending #อย่าปิดการมองเห็น #brazilian #slowed 
https://www.tiktok.com/@ness_opo/video/7281298890702294278,2023-09-21 18:18:30,59,2109,96,2,2,21,
https://www.tiktok.com/@ness_opo/video/7281292111780121861,2023-09-21 17:52:12,15,2912,207,3,4,44,#slowed #brazilian #อย่าปิดการมองเห็น #tending #typ #top #musica #sdx_bass #funk #foryou #headphones #bassboosong #aveeplayer #TikTok #ness_opo #brazil #viral #phonk #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7281283739592740101,2023-09-21 17:19:42,70,1887,103,2,0,12,👿😈👿😈👿#🎧 #NesS🎧🎵 #phonk #viral #brazil #ness_opo #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #musica #top #typ #tending #อย่าปิดการมองเห็น #brazilian #slowed 
https://www.tiktok.com/@ness_opo/video/7280817971243650310,2023-09-20 11:12:18,80,4493,298,4,3,37,🔥🔥🔥🔥💀💀💀💀#slowed #brazilian #อย่าปิดการมองเห็น #tending #typ #top #musica #sdx_bass #funk #foryou #headphones #bassboosong #aveeplayer #TikTok #ness_opo #brazil #viral #phonk #NesS🎧🎵 #🎧 
